issue,value
any_core_metadata_missing,6720.0
all_core_metadata_missing,6720.0
no_genres_listed,6720.0
missing_year,787.0
tagged_movies,0.0
tagged_movies_pct,0.0
no_budget_no_revenue,6720.0
